id	smile	real_rt	pred_rt	diff	diff_sq
0044_00048	C1=CC(=C(N=C1)C(=O)O)C(=O)O	532.8	292.31	240.49	57835.44
0044_00325	C(C(=O)O)N=C(N)N	839.4	860.01	20.61	424.77
0044_00204	C1C(C(C(C(O1)O)O)O)O	618.6	660.59	41.99	1763.16
0044_00085	CC(CCC(=O)O)CC(=O)O	127.8	122.37	5.43	29.48
0044_00090	C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O	617.4	635.91	18.51	342.62
0044_00568	CC(=O)NC1C(C(C(OC1O)CO)O)O	718.8	729.01	10.21	104.24
0044_00040	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O	726.6	717.83	8.77	76.91
0044_00401	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	592.8	644.03	51.23	2624.52
0044_00092	C(C(C(C(C=O)O)O)O)O	683.4	607.11	76.29	5820.17
0044_00083	CC1C(C(C(C(O1)O)O)O)O	530.4	632.06	101.66	10334.76
0044_00433	C1=C(NC=N1)CC(CO)N	1019.4	1005.55	13.85	191.82
0044_00120	C1=CC=C(C=C1)CC(CC(=O)O)C(=O)O	129.0	211.36	82.36	6783.17
0044_00292	C1=C[N+](=CC=C1C(=O)O)[O-]	582.0	462.39	119.61	14306.55
0044_00058	C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O	942.6	1047.8	105.2	11067.05
0044_00322	CC1=C(C=CC=N1)C(=O)N	130.8	201.99	71.19	5068.02
0044_00258	C1C(C(C(=O)C=C1C(=O)O)O)O	552.6	488.84	63.76	4065.34
0044_00493	C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O	630.0	762.68	132.68	17603.98
0044_00445	C(=O)[O-]	167.4	-81.53	248.93	61966.14
0044_00043	CC(=O)NC1C(C(C(OC1O)CO)O)O	659.4	729.01	69.61	4845.55
0044_00057	CC(=O)N[C@@H](CC(=O)O)C(=O)O	525.6	519.1	6.5	42.25
0044_00391	CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OS(=O)(=O)O)C)C	123.0	451.89	328.89	108168.64
0044_00336	CN1C2=C(C(=O)N(C1=O)C)NC(=O)N2	131.4	259.22	127.82	16337.95
0044_00274	C1=CC=C(C(=C1)C(=O)N)O	104.4	104.74	0.34	0.12
0044_00441	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O	916.2	903.56	12.64	159.77
0044_00491	C1C(NC(=O)NC1=O)C(=O)O	634.8	454.85	179.95	32382.0
0044_00553	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N	893.4	924.73	31.33	981.57
0044_00054	C1=CC(=CC=C1CC(=O)C(=O)O)O	106.2	350.0	243.8	59438.44
0044_00473	C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	549.6	428.88	120.72	14573.32
0044_00129	CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(C4)O)C)C	108.6	169.19	60.59	3671.15
0044_00029	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C	102.6	147.65	45.05	2029.5
0044_00184	COC(=O)CC1=CC=C(C=C1)O	100.2	160.64	60.44	3652.99
0044_00462	C1=C(C(=O)NC(=O)N1)CO	495.0	268.06	226.94	51501.76
0044_00513	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O	439.8	320.27	119.53	14287.42
0044_00208	C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O	134.4	345.35	210.95	44499.91
0044_00152	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	672.0	723.92	51.92	2695.68
0044_00245	C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O	944.4	1125.28	180.88	32717.58
0044_00317	C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN	958.2	944.43	13.77	189.61
0044_00546	CC(=O)NC1C(C(C(OC1O)CO)O)O	652.8	729.01	76.21	5807.97
0044_00547	C(CCCC(=O)O)CCC(=O)O	114.6	131.78	17.18	295.15
0044_00123	CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN	620.4	683.65	63.25	4000.57
0044_00260	C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N	628.8	680.81	52.01	2705.04
0044_00266	C1CC1(C(=O)O)N	807.6	985.94	178.34	31805.16
0044_00289	CC1C2=CC=CC=C2NC1=O	103.8	215.63	111.83	12505.95
0044_00426	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N	786.6	674.49	112.11	12568.65
0044_00148	CC1=CC(=C(C=C1)O)O	110.4	322.24	211.84	44876.18
0044_00179	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O	800.4	760.06	40.34	1627.32
0044_00530	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC	561.0	594.77	33.77	1140.41
0044_00178	CCOC(=O)CCNC(=O)N	128.4	349.98	221.58	49097.7
0044_00100	C12=C(NC(=O)N1)NC(=O)NC2=O	673.2	453.91	219.29	48088.1
0044_00451	C(C(=O)O)O	240.0	327.08	87.08	7582.92
0044_00434	CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	847.2	785.87	61.33	3761.37
0044_00306	C([C@@H](C(=O)O)N=C(N)N)C(=O)O	862.2	902.41	40.21	1616.84
0044_00439	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	96.0	203.05	107.05	11459.7
0044_00116	C(C(C(C(C(CO)O)O)O)O)O	741.0	813.4	72.4	5241.76
0044_00502	C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	615.6	552.12	63.48	4029.71
0044_00073	C(C1C(C(C(C(O1)O)N)O)O)O	931.2	979.49	48.29	2331.92
0044_00540	CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	577.8	558.39	19.41	376.75
0044_00211	CCCCCCCCCCCCCC(=O)OC[C@H](CO)O	98.4	297.73	199.33	39732.45
0044_00560	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)N)O)O)O	905.4	937.26	31.86	1015.06
0044_00175	CC(=O)NC(CO)C(=O)O	499.8	378.71	121.09	14662.79
0044_00088	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	867.6	862.26	5.34	28.52
0044_00554	C1=CC=[N+](C(=C1)C(=O)O)[O-]	114.0	421.08	307.08	94298.12
0044_00489	C1=CC=C2C(=C1)C(=CN2)CC=O	601.2	189.57	411.63	169439.25
0044_00291	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC	89.4	277.33	187.93	35317.68
0044_00315	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	940.8	958.96	18.16	329.79
0044_00399	CC(C(=O)O)N	822.0	851.59	29.59	875.57
0044_00023	C[C@H]([C@@H](C(=O)O)N)O	824.4	862.96	38.56	1486.88
0044_00475	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O	921.6	907.63	13.97	195.16
0044_00071	CC1C2=CC(=C(C=C2CCN1)O)O	663.0	633.99	29.01	841.58
0044_00022	CC(=O)N[C@@H](CCC(=O)O)C(=O)O	501.6	473.96	27.64	763.97
0044_00565	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O	887.4	867.68	19.72	388.88
0044_00437	CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C	89.4	231.04	141.64	20061.89
0044_00278	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2	264.6	317.33	52.73	2780.45
0044_00340	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O	806.4	807.94	1.54	2.37
0044_00010	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O	874.8	864.0	10.8	116.64
0044_00360	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)O)O)N	790.8	781.07	9.73	94.67
0044_00303	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	952.2	971.02	18.82	354.19
0044_00459	C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O	867.6	692.69	174.91	30593.51
0044_00193	CC(=O)NC(CC(=O)N)C(=O)O	585.0	467.97	117.03	13696.02
0044_00080	[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O	822.6	834.77	12.17	148.11
0044_00562	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C	97.8	152.52	54.72	2994.28
0044_00229	C1=CC=C(C=C1)[C@H](C(=O)O)N	705.0	691.37	13.63	185.78
0044_00058	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O	942.6	1072.73	130.13	16933.81
