Num_repo	MAE	RMSE	max rt	Relative MAE (%)	Relative RMSE (%)
0001	256.2	336.5	1317.6	19.45	25.55
0002	295.0	535.0	3672.0	8.03	14.57
0003	26.22	32.34	719.8	3.64	4.49
0004	47.75	78.0	720.0	6.63	10.83
0005	52.34	59.44	743.82	7.04	7.99
0006	162.6	210.2	1876.64	8.67	11.2
0007	67.1	79.1	1488.0	4.51	5.32
0008	10.62	13.69	445.8	2.38	3.07
0009	14.6	20.56	129.0	11.32	15.94
0010	156.9	187.5	1494.0	10.5	12.55
0011	47.34	59.03	1494.0	3.17	3.95
0012	53.12	59.88	1120.8	4.74	5.34
0013	38.88	39.44	338.6	11.48	11.65
0014	23.88	37.1	464.2	5.14	7.99
0015	51.16	68.6	808.02	6.33	8.49
0016	43.75	57.3	638.62	6.85	8.98
0017	152.5	202.5	1896.0	8.04	10.68
0018	102.56	144.1	1920.8	5.34	7.51
0019	77.9	99.8	1224.0	6.36	8.16
0020	79.9	105.44	958.2	8.34	11.0
0021	126.9	277.8	1108.02	11.45	25.07
0023	34.16	44.97	1158.0	2.95	3.88
0024	87.44	134.8	883.39	9.9	15.25
0025	152.1	222.1	1313.4	11.59	16.91
0026	84.2	89.7	1260.0	6.68	7.12
0027	92.9	117.0	919.92	10.1	12.71
0028	220.0	365.0	2519.64	8.73	14.49
0029	241.9	271.5	1363.8	17.74	19.91
0030	36.47	42.78	307.2	11.87	13.93
0031	37.62	64.7	668.4	5.63	9.68
0032	265.2	378.8	2998.2	8.85	12.64
0033	224.9	273.8	797.88	28.17	34.31
0034	51.16	59.25	242.4	21.11	24.44
0036	103.2	159.5	2628.0	3.93	6.07
0037	114.3	144.5	1477.2	7.74	9.78
0038	133.8	163.1	978.0	13.68	16.68
0039	1.215e+03	1.31e+03	6031.2	inf	inf
0040	122.2	163.9	2050.86	5.96	7.99
0041	35.16	39.53	270.96	12.98	14.59
0042	55.7	84.75	405.6	13.73	20.89
0043	10.75	14.79	844.1	1.27	1.75
0044	90.6	124.7	1191.0	7.61	10.47
0045	67.44	95.94	990.0	6.81	9.69
0047	264.5	382.0	2820.0	9.38	13.55
0048	51.97	69.9	876.0	5.93	7.98
0049	37.84	44.97	829.08	4.56	5.42
0050	49.3	61.0	1216.2	4.06	5.02
0051	428.5	569.5	3139.2	13.65	18.14
0052	159.1	192.5	1425.0	11.17	13.51
0053	47.9	57.6	1427.28	3.36	4.04
0054	10.38	15.41	336.99	3.08	4.57
0055	22.06	26.78	330.87	6.67	8.09
0056	35.88	53.78	551.46	6.51	9.76
0057	77.75	92.0	558.06	13.93	16.49
0058	66.3	75.44	480.6	13.8	15.7
0059	46.38	62.38	500.4	9.26	12.46
0060	11.07	16.94	333.15	3.32	5.08
0061	0.0125	0.0	194.4	0.01	0.0
0062	150.9	252.0	1143.12	13.2	22.04
0063	29.1	42.1	633.0	4.6	6.65
0064	42.84	76.56	562.2	7.62	13.62
0065	39.8	55.53	1578.6	2.52	3.52
0066	231.4	236.0	2202.6	10.5	10.71
0067	123.75	194.4	1780.8	6.95	10.92
0068	128.5	163.0	1594.2	8.06	10.23
0069	151.4	234.0	1791.6	8.45	13.06
0070	112.7	142.9	1642.2	6.86	8.7
0071	241.4	332.2	1810.2	13.34	18.35
0072	141.8	214.8	2024.4	7.0	10.61
0073	257.2	290.8	1781.4	14.44	16.32
0074	158.6	192.6	1810.8	8.76	10.64
0075	121.56	166.8	1779.6	6.83	9.37
0076	539.5	661.0	1942.2	27.78	inf
0077	133.2	161.5	1802.4	7.39	8.96
0078	91.6	129.5	1608.0	5.7	8.05
0079	98.94	143.8	1581.6	6.26	9.09
0080	213.5	239.4	2266.8	9.42	10.56
0081	136.2	158.1	2196.0	6.2	7.2
0082	117.5	252.9	2241.0	5.24	11.28
0083	114.7	156.2	1747.8	6.56	8.94
