id	column.name	column.usp.code	column.length	column.id	column.particle.size	column.temperature	column.flowrate	column.t0	eluent.A.h2o	eluent.A.meoh	eluent.A.acn	eluent.A.iproh	eluent.A.acetone	eluent.A.hex	eluent.A.chcl3	eluent.A.ch2cl2	eluent.A.hept	eluent.A.formic	eluent.A.formic.unit	eluent.A.acetic	eluent.A.acetic.unit	eluent.A.trifluoroacetic	eluent.A.trifluoroacetic.unit	eluent.A.phosphor	eluent.A.phosphor.unit	eluent.A.nh4ac	eluent.A.nh4ac.unit	eluent.A.nh4form	eluent.A.nh4form.unit	eluent.A.nh4carb	eluent.A.nh4carb.unit	eluent.A.nh4bicarb	eluent.A.nh4bicarb.unit	eluent.A.nh4f	eluent.A.nh4f.unit	eluent.A.nh4oh	eluent.A.nh4oh.unit	eluent.A.trieth	eluent.A.trieth.unit	eluent.A.triprop	eluent.A.triprop.unit	eluent.A.tribut	eluent.A.tribut.unit	eluent.A.nndimethylhex	eluent.A.nndimethylhex.unit	eluent.A.medronic	eluent.A.medronic.unit	eluent.A.pH	eluent.A.heptafluorobutyric	eluent.A.heptafluorobutyric.unit	eluent.B.h2o	eluent.B.meoh	eluent.B.acn	eluent.B.iproh	eluent.B.acetone	eluent.B.hex	eluent.B.chcl3	eluent.B.ch2cl2	eluent.B.hept	eluent.B.formic	eluent.B.formic.unit	eluent.B.acetic	eluent.B.acetic.unit	eluent.B.trifluoroacetic	eluent.B.trifluoroacetic.unit	eluent.B.phosphor	eluent.B.phosphor.unit	eluent.B.nh4ac	eluent.B.nh4ac.unit	eluent.B.nh4form	eluent.B.nh4form.unit	eluent.B.nh4carb	eluent.B.nh4carb.unit	eluent.B.nh4bicarb	eluent.B.nh4bicarb.unit	eluent.B.nh4f	eluent.B.nh4f.unit	eluent.B.nh4oh	eluent.B.nh4oh.unit	eluent.B.trieth	eluent.B.trieth.unit	eluent.B.triprop	eluent.B.triprop.unit	eluent.B.tribut	eluent.B.tribut.unit	eluent.B.nndimethylhex	eluent.B.nndimethylhex.unit	eluent.B.medronic	eluent.B.medronic.unit	eluent.B.pH	eluent.B.heptafluorobutyric	eluent.B.heptafluorobutyric.unit	eluent.C.h2o	eluent.C.meoh	eluent.C.acn	eluent.C.iproh	eluent.C.acetone	eluent.C.hex	eluent.C.chcl3	eluent.C.ch2cl2	eluent.C.hept	eluent.C.formic	eluent.C.formic.unit	eluent.C.acetic	eluent.C.acetic.unit	eluent.C.trifluoroacetic	eluent.C.trifluoroacetic.unit	eluent.C.phosphor	eluent.C.phosphor.unit	eluent.C.nh4ac	eluent.C.nh4ac.unit	eluent.C.nh4form	eluent.C.nh4form.unit	eluent.C.nh4carb	eluent.C.nh4carb.unit	eluent.C.nh4bicarb	eluent.C.nh4bicarb.unit	eluent.C.nh4f	eluent.C.nh4f.unit	eluent.C.nh4oh	eluent.C.nh4oh.unit	eluent.C.trieth	eluent.C.trieth.unit	eluent.C.triprop	eluent.C.triprop.unit	eluent.C.tribut	eluent.C.tribut.unit	eluent.C.nndimethylhex	eluent.C.nndimethylhex.unit	eluent.C.medronic	eluent.C.medronic.unit	eluent.C.pH	eluent.C.heptafluorobutyric	eluent.C.heptafluorobutyric.unit	eluent.D.h2o	eluent.D.meoh	eluent.D.acn	eluent.D.iproh	eluent.D.acetone	eluent.D.hex	eluent.D.chcl3	eluent.D.ch2cl2	eluent.D.hept	eluent.D.formic	eluent.D.formic.unit	eluent.D.acetic	eluent.D.acetic.unit	eluent.D.trifluoroacetic	eluent.D.trifluoroacetic.unit	eluent.D.phosphor	eluent.D.phosphor.unit	eluent.D.nh4ac	eluent.D.nh4ac.unit	eluent.D.nh4form	eluent.D.nh4form.unit	eluent.D.nh4carb	eluent.D.nh4carb.unit	eluent.D.nh4bicarb	eluent.D.nh4bicarb.unit	eluent.D.nh4f	eluent.D.nh4f.unit	eluent.D.nh4oh	eluent.D.nh4oh.unit	eluent.D.trieth	eluent.D.trieth.unit	eluent.D.triprop	eluent.D.triprop.unit	eluent.D.tribut	eluent.D.tribut.unit	eluent.D.nndimethylhex	eluent.D.nndimethylhex.unit	eluent.D.medronic	eluent.D.medronic.unit	eluent.D.pH	eluent.D.heptafluorobutyric	eluent.D.heptafluorobutyric.unit	gradient.start.A	gradient.start.B	gradient.start.C	gradient.start.D	gradient.end.A	gradient.end.B	gradient.end.C	gradient.end.D
1	Waters ACQUITY UPLC HSS T3	L1	150.0	2.1	1.8	40.0	0.28	1.18125	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	100.0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
2	Waters ACQUITY UPLC HSS T3	L1	100.0	2.1	1.8	30.0	0.3	0.735	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	100.0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
3	Waters ACQUITY UPLC HSS T3	L1	100.0	1.0	1.8	38.82	0.38	0.13641	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	0.0	100	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		95.0	5.0	0.0	0.0	5.0	95.0	0.0	0.0
4	Thermo Scientific Hypersil GOLD	L1	150.0	2.1	1.9	41.67	0.5	0.6615	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	0.0	100	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
5	Waters ACQUITY UPLC HSS T3	L1	150.0	2.1	1.7	30.0	0.4	0.8268749999999999	100.0	0	0	0	0.0	0	0	0	0	0.2	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		0.0	0.0		2	0.0	98	0	0.0	0	0	0	0	0.2	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
6	Hichrom Alltima HP C18	L1	150.0	2.1	3.0	38.47	0.2	1.6537499999999998	90.0	0	5	0	0.0	0	0	0	0	5.0	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		0.0	0.0		0	0.0	100	0	0.0	0	0	0	0	0.0		0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	30.0	70.0	0.0	0.0
7	Merck SeQuant ZIC-pHILIC	L122	150.0	2.1	5.0	32.5	0.1	3.3075	0.0	0	100	0	0.0	0	0	0	0	0.0		0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		0.0	0.0		100	0.0	0	0	0.0	0	0	0	0	0.0		0.0		0.0		0		0		0.0		10	mM	0		0		0.0		0		0		0		0		0.0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		80.0	20.0	0.0	0.0	20.0	80.0	0.0	0.0
8	Thermo Scientific Hypersil GOLD	L1	5.0	2.1	1.9	45.0	0.25	0.0441	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	0.0	50	50	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		95.0	5.0	0.0	0.0	5.0	95.0	0.0	0.0
9	Waters ACQUITY UPLC BEH C18	L1	98.36	2.05	1.7	38.0	0.24	0.89279	100.0	0	0	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0		0		0		0		0.0		0		0		0		0		0		3.0	0.0		0	0.0	100	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		0.0		0		0		0		0.0		0		0		0		0		0.0		3.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		100.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
10	Merck Supelco Ascentis Express C18	L1	150.0	2.1	2.7	55.0	0.26	1.2721153846153843	60.0	0	40	0	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		10	mM	0		0		0		0.0		0		0		0		0		0		0.0	0.0		0	0.0	10	90	0.0	0	0	0	0	0.1	%	0.0		0.0		0		0		10.0	mM	0		0		0		0.0		0		0		0		0		0.0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		0	0	0	0	0.0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0.0	0.0		68.0	32.0	0.0	0.0	3.0	97.0	0.0	0.0
