   val_loss  params_dropout_rate  params_ffn_hidden_dim  params_ffn_layers  params_mp_hidden_dim
0    0.2285                  0.3                    789                  1                  1554
1    0.2308                  0.3                    510                  1                   654
2    0.2315                  0.3                    351                  1                   360
3    0.2348                  0.1                    524                  3                   812
4    0.2358                  0.2                    647                  3                  1807
5    0.2371                  0.2                   1723                  2                  1286
6    0.2399                  0.3                    769                  1                   598
7    0.2429                  0.5                   2103                  3                  1053
8    0.2444                  0.5                   1750                  1                   513
9    0.2551                  0.1                    549                  2                   608
