    val_loss               duration  params_dropout_rate  params_ffn_hidden_dim  params_ffn_layers  params_init_lr  params_max_lr  params_mp_hidden_dim
0     0.1530 0 days 01:27:29.440778                  0.1                   1097                  2         0.00007          0.002                   907
1     0.1532 0 days 03:08:55.408961                  0.1                    756                  2         0.00009          0.003                  1590
2     0.1532 0 days 00:45:14.704051                  0.1                   2085                  1         0.00005          0.006                   536
3     0.1548 0 days 01:06:21.022847                  0.3                    631                  1         0.00001          0.006                   754
4     0.1553 0 days 01:21:36.496953                  0.2                    631                  2         0.00003          0.004                   875
5     0.1555 0 days 00:55:51.181942                  0.3                   1892                  2         0.00007          0.002                   542
6     0.1559 0 days 00:25:58.236768                  0.3                    681                  1         0.00006          0.006                   323
7     0.1595 0 days 04:57:29.296132                  0.3                   2357                  1         0.00002          0.007                  2125
8     0.1642 0 days 05:40:46.340059                  0.4                    304                  2         0.00001          0.001                  2332
9     0.1710 0 days 02:13:32.434196                  0.1                   1225                  3         0.00010          0.010                  1164
10    0.3982 0 days 03:43:49.232047                  0.5                   1703                  3         0.00008          0.004                  1717
11       NaN 0 days 00:08:44.005294                  0.1                    991                  2         0.00010          0.003                  1348
