    val_loss               duration  params_ffn_hidden_dim  params_ffn_layers  params_mp_hidden_dim
0     0.1524 0 days 00:37:38.016093                    181                  4                   316
1     0.1538 0 days 00:59:05.611382                    191                  2                   488
2     0.1540 0 days 00:49:47.989493                    154                  4                   413
3     0.1543 0 days 00:58:00.438329                    193                  2                   478
4     0.1548 0 days 00:59:00.451938                    210                  2                   486
5     0.1550 0 days 00:45:25.361675                    233                  2                   379
6     0.1550 0 days 00:53:52.136125                    107                  3                   450
7     0.1555 0 days 00:40:28.260041                    156                  4                   338
8     0.1560 0 days 00:45:23.481107                    263                  3                   374
9     0.1564 0 days 00:36:41.558145                    283                  6                   295
10    0.1566 0 days 00:46:23.904339                    107                  3                   387
11    0.1573 0 days 00:47:45.026731                    180                  2                   398
12    0.1574 0 days 00:30:01.481984                    234                  2                   250
13    0.1577 0 days 00:40:53.361917                    164                  6                   336
14    0.1580 0 days 00:31:23.260263                    406                  8                   235
15    0.1580 0 days 00:37:49.890383                    192                  5                   311
16    0.1581 0 days 00:28:50.222706                    126                  4                   238
17    0.1584 0 days 01:00:10.525313                    172                  2                   498
18    0.1585 0 days 00:56:06.890047                    102                  3                   463
19    0.1593 0 days 00:31:03.391667                    122                  1                   265
20    0.1599 0 days 00:35:47.094569                    187                  4                   298
21    0.1599 0 days 00:24:30.337082                    346                  7                   182
22    0.1601 0 days 00:25:11.387041                    144                  4                   203
23    0.1603 0 days 00:20:39.506851                    267                  5                   158
24    0.1612 0 days 00:22:26.216231                    147                  1                   188
25    0.1625 0 days 00:21:20.667579                    175                  7                   165
26    0.1691 0 days 00:12:27.987832                    137                  3                    86
27    0.1725 0 days 00:13:38.473820                    216                  1                   101
28    0.1729 0 days 00:13:51.661042                    321                  1                   105
29    0.1778 0 days 00:11:32.918961                    473                  5                    52
