	val_loss	duration	params_dropout_rate	params_ffn_hidden_dim	params_ffn_layers	params_mp_hidden_dim
0	0.1606	0 days 01:07:54.894189	0.1	740	4	495
1	0.1607	0 days 00:52:09.892087	0.1	612	5	386
2	0.1609	0 days 01:22:09.921761	0.2	447	4	468
3	0.1613	0 days 00:51:01.215486	0.0	546	5	427
4	0.1613	0 days 01:08:45.623336	0.1	433	4	435
5	0.1622	0 days 00:46:41.186841	0.1	476	4	429
6	0.1623	0 days 00:55:56.139524	0.1	416	5	427
7	0.1627	0 days 00:43:14.547674	0.2	489	4	382
8	0.1629	0 days 00:51:01.853273	0.0	327	6	488
9	0.1629	0 days 00:49:56.660348	0.0	425	5	475
10	0.163	0 days 00:55:51.551572	0.0	716	4	445
11	0.163	0 days 00:58:05.874505	0.1	467	3	428
12	0.1632	0 days 00:58:40.114185	0.2	523	4	387
13	0.1633	0 days 01:00:29.876832	0.0	458	6	433
14	0.1635	0 days 00:58:38.212221	0.1	639	4	345
15	0.1635	0 days 00:59:39.824907	0.0	342	5	530
16	0.1636	0 days 00:58:55.948892	0.0	544	4	423
17	0.164	0 days 01:14:51.575966	0.2	481	3	495
18	0.1642	0 days 00:41:30.839367	0.0	665	2	408
19	0.1643	0 days 01:24:34.661822	0.0	438	4	597
20	0.1647	0 days 01:14:57.660164	0.2	531	5	474
21	0.1648	0 days 00:56:30.379269	0.0	544	5	471
22	0.1649	0 days 00:49:06.874011	0.0	317	6	472
23	0.1649	0 days 00:59:33.648135	0.1	1147	4	438
24	0.165	0 days 01:17:12.733286	0.2	539	6	510
25	0.1651	0 days 00:53:30.896127	0.2	802	5	376
26	0.1651	0 days 00:44:11.198097	0.2	460	4	307
27	0.1652	0 days 01:04:28.410315	0.1	395	4	410
28	0.1652	0 days 00:52:38.621932	0.1	420	4	382
29	0.1653	0 days 01:10:23.802509	0.1	571	4	435
30	0.1653	0 days 01:03:28.409159	0.1	443	5	453
31	0.1653	0 days 00:44:24.722279	0.2	908	3	332
32	0.1654	0 days 01:09:47.284462	0.1	849	6	404
33	0.1654	0 days 01:10:24.269250	0.1	396	5	427
34	0.1656	0 days 00:39:12.517255	0.0	717	2	450
35	0.1657	0 days 00:43:41.646331	0.0	910	4	444
36	0.1657	0 days 00:50:31.061826	0.0	766	4	445
37	0.1658	0 days 00:53:45.678281	0.0	329	4	461
38	0.1658	0 days 00:51:46.737841	0.1	659	6	336
